ID,Video Name,YT-ID,Resolution,Video Length,FPS,Number of Frames,Date of Acquisition,File Size,Subtitles,Sentences,Tokens,Characters
295,Gebärdensprachvideo： Oppositionsvorlagen zur Entwicklung und Zusam­menarbeit abgelehnt ,NkMi1DoPnDo,640.0 x 360.0,5228,25,130700,2023-03-21,272.79,974,729,11525,72127
296,Gebärdensprachvideo： Ordnungsgemäße Verwendung öffentl. Mittel ,GpmLarNveRA,640.0 x 360.0,3990,25,99750,2023-03-21,157.41,933,496,9957,60897
297,Gebärdensprachvideo： Personelle Einsatzbereitschaft der Bundeswehr ,0HeLzKE-6oQ,640.0 x 360.0,3977,25,99425,2023-03-21,212.04,1561,621,10596,66769
298,Gebärdensprachvideo： Petitionen - Bitten und Beschwerden an den Bundestag ,gSwgn_DXBVA,1280.0 x 720.0,204.2,25,5105,2023-03-21,49.21,52,27,432,3088
299,Gebärdensprachvideo： Pflege­sofortprogramm erstmals beraten ,gMYCJp4sWnE,640.0 x 360.0,4568,25,114200,2023-03-21,166.42,1230,515,12140,74131
300,Gebärdensprachvideo： Plenum debattiert über Zukunft der be­ruflichen Bildung ,-GCxTOlZaoA,640.0 x 360.0,4002,25,100050,2023-03-21,215.07,795,557,9732,63058
301,Gebärdensprachvideo： Privatsphäre und Sicherheit im digitalen Raum ,f8DA1gf6_R4,640.0 x 360.0,4258,25,106450,2023-03-21,217.99,1093,623,10555,67137
302,Gebärdensprachvideo： Pro und Contra Entlastung An­gehöriger von Pflege­kosten ,pIUTJjDU2gE,1280.0 x 720.0,6070,25,151750,2023-03-21,771.8,1029,537,11750,72739
303,Gebärdensprachvideo： Pro und Contra FDP-Anträge zur Familien­politik in Corona-Zeiten ,K4Wijoxr8tE,1280.0 x 720.0,4795,25,119875,2023-03-21,523.27,1386,723,12667,77257
304,Gebärdensprachvideo： Reform der Pflegeausbildung ,ZNCG92vLxwU,638.0 x 360.0,4486.92,25,112173,2023-03-21,235.4,1119,631,11572,70429
305,Gebärdensprachvideo： Reform des sozialen Entschädi­gungs­rechts als sach­gerecht bewertet ,OgQKWeBKRGo,1280.0 x 720.0,5968,25,149200,2023-03-21,814.33,1022,559,13874,87062
306,Gebärdensprachvideo： Reform des Wettbe­werbs­rechts auf digitalen Märkten debattiert ,OuQjQTGyyUQ,640.0 x 360.0,2347,25,58675,2023-03-21,118.22,448,302,5516,35226
307,Gebärdensprachvideo： Regierung legt Ent­wurf zu siche­ren Her­kunfts­staaten vor ,gHq0poiI0VM,640.0 x 360.0,4540,25,113500,2023-03-21,168.44,1559,666,12516,77446
308,Gebärdensprachvideo： Regierung soll Bericht über Menschen­rechts­politik neu ausrichten ,AerC5qW_Xow,640.0 x 360.0,4665,25,116625,2023-03-21,250.66,894,643,10987,70877
309,Gebärdensprachvideo： Regierung will Jobchancen Langzeitarbeitsloser erhöhen ,WtCkrBfYLOw,640.0 x 360.0,4268,25,106700,2023-03-21,172.27,1435,495,10854,68027
310,Gebärdensprachvideo： Regierung will Stabilität des Banken­sektors stärken ,ygVALJKL2eI,640.0 x 360.0,2314,25,57850,2023-03-21,122.07,460,305,5491,34153
311,Gebärdensprachvideo： Regierungserklärung der Bundeskanzlerin ,AUKbJTg60EM,640.0 x 360.0,9178,25,229450,2023-03-21,372.1,2214,878,22489,136059
312,Gebärdensprachvideo： Regierungserklärung der Bundeskanzlerin ,hW6Md7C7zFs,638.0 x 360.0,3577.36,25,89434,2023-03-21,148.95,927,381,8252,52570
313,Gebärdensprachvideo： Regierungserklärung zu EU-Gipfel und Statements zur Türkei ,wreHHaWXigo,640.0 x 360.0,10485.16,25,262129,2023-03-21,564.54,2419,1282,25267,151971
314,Gebärdensprachvideo： Regierungserklärung zum Brexit ,8CLyaHsyxLA,640.0 x 360.0,7147.8,25,178695,2023-03-21,395.19,1650,761,16655,102541
315,Gebärdensprachvideo： Regierungserklärung zum G20-Gipfel ,_2VzX34a-aU,640.0 x 360.0,8743.24,25,218581,2023-03-21,367.08,1920,1052,19986,121462
316,Gebärdensprachvideo： Rivlin fordert Bekämpfung von Antisemitismus und Fremdenhass ,h7chJvKBxYU,640.0 x 360.0,4509,25,112725,2023-03-21,237.59,489,322,6115,36108
317,Gebärdensprachvideo： Schutzpaket für mehr Corona­tests und Pflege-Prämien be­schlossen ,yBhGk6I5LbY,640.0 x 360.0,3271,25,81775,2023-03-21,178.46,618,423,7244,46818
318,Gebärdensprachvideo： Sicher­heit infor­ma­tions­technischer Systeme thematisiert ,BCcs6DBM-Lk,1280.0 x 720.0,2364,25,59100,2023-03-21,337.88,621,319,5559,35206
319,Gebärdensprachvideo： Solidarische Mindest­rente der Linken über­zeugt andere Frak­tionen nicht ,6Iya33tvJRY,640.0 x 360.0,4594,25,114850,2023-03-21,241.7,1633,616,12117,74640
320,Gebärdensprachvideo： Staatsakt zu Ehren Dr. Philipp Jenninger ,lZm5VMWiL4Q,640.0 x 360.0,3844.64,25,96116,2023-03-21,161.29,417,263,4379,27420
321,Gebärdensprachvideo： Streit um Aufhe­bung der epide­mi­schen Lage von natio­naler Trag­weite ,l6KqoApgY_A,640.0 x 360.0,5343,25,133575,2023-03-21,273.32,1079,682,13469,81173
322,Gebärdensprachvideo： Streit über Stra­tegien in der Ge­sundheits­politik ,H9EkLs9yEDw,640.0 x 360.0,4859,25,121475,2023-03-21,257.36,944,642,11468,70128
323,Gebärdensprachvideo： Strukturhilfen für Kohleregionen ,rztN5ZIzeGg,640.0 x 360.0,2656,25,66400,2023-03-21,146.03,532,402,6513,40562
324,Gebärdensprachvideo： Stärkung der Kultur im ländlichen Raum ,kEdH1dpUDM8,640.0 x 360.0,4422,25,110550,2023-03-21,242.6,1000,680,11090,66845
325,Gebärdensprachvideo： Technologische Leistungsfähigkeit Deutschlands ,gdffOnqPq18,638.0 x 360.0,4530.04,25.00022075,113252,2023-03-21,244.27,1094,640,11445,70296
326,Gebärdensprachvideo： Teilhabeausweis statt Schwerbehindertenausweis ,awO9sG9m4Mo,638.0 x 360.0,4810.08,25,120252,2023-03-21,212.83,1241,590,12709,76640
327,Gebärdensprachvideo： Teil­zeit­regelung für Frei­willigen­dienste ,e1y-sMQo0Yo,640.0 x 360.0,3908,25,97700,2023-03-21,209.21,1379,620,10445,64886
328,Gebärdensprachvideo： Terminservice- und Versorgungsgesetz ,ayCcBph07SU,640.0 x 360.0,4424,25,110600,2023-03-21,228.01,1453,602,11128,69298
329,Gebärdensprachvideo： Umsetzung der Marrakesch-Richtlinie ,c9GWVNU-V_E,638.0 x 360.0,1012,25,25300,2023-03-21,53.96,697,280,5366,33982
330,Gebärdensprachvideo： Unterstützung im Kampf gegen Rechts­extre­mis­mus und Hass­kriminalität ,FPAzhYA86-Y,640.0 x 360.0,4611,25,115275,2023-03-21,184.91,849,648,10619,66044
331,Gebärdensprachvideo： Untersuchungsausschuss zur Treuhandanstalt ,2u9v-1mF8bc,640.0 x 360.0,4272,25,106800,2023-03-21,228.77,1635,603,11750,70536
332,Gebärdensprachvideo： Vereinbarte Debatte - Vorgeburtliche genetische Bluttests ,hJ6lfeTBACY,640.0 x 360.0,7580,25,189500,2023-03-21,398.94,1726,986,19489,117521
333,Gebärdensprachvideo： Vereinbarte Debatte aus Anlass des Anschlags auf die Synagoge in Halle ,u6-7T33BLcE,1280.0 x 720.0,4940,25,123500,2023-03-21,600.01,1098,726,13778,79455
334,Gebärdensprachvideo： Vereinbarte Debatte zu Organspenden ,Q8t20aF100I,640.0 x 360.0,10425,25,260625,2023-03-21,534.78,3422,1521,27365,167619
335,Gebärdensprachvideo： Vereinbarte Debatte： Klimaschutzprogramm 2030 ,Wsjiemd9Eyo,640.0 x 360.0,5525,25,138125,2023-03-21,304.15,1104,785,13719,81785
336,Gebärdensprachvideo： Vereinfachung des Zollverfahrens ,Sy0TVmVAXQk,640.0 x 360.0,3817,25,95425,2023-03-21,146.1,1285,512,10383,63424
337,Gebärdensprachvideo： Vorbild­funktion des Bundes am Bau stärken ,eG0KTgtd2Oc,640.0 x 360.0,4799,25,119975,2023-03-21,250.33,869,680,10690,67380
338,Gebärdensprachvideo： Vorgehen gegen kriminelle Clans ,2-zxc9gFeiM,640.0 x 360.0,4092,25,102300,2023-03-21,219.24,1543,662,11103,69250
339,Gebärdensprachvideo： Wahl der Bundeskanzlerin ,Zv7BUAjdPGM,638.0 x 360.0,3272.04,25,81801,2023-03-21,111.92,79,48,756,4601
340,Gebärdensprachvideo： Wahl eines Richters des Bundesverfassungsgerichts ,n-YemyNuLqY,640.0 x 360.0,1652.56,25,41314,2023-03-21,70.2,131,73,1317,8131
341,Gebärdensprachvideo： Was die EU zur Eindäm­mung der Corona-Pan­de­mie unter­nehmen sollte ,3bumzHfx31s,640.0 x 360.0,2781,25,69525,2023-03-21,123.19,583,411,6925,42427
342,Gebärdensprachvideo： Weg frei für schnellere Termin­vergabe für Patienten ,K0VaTfSQa8k,640.0 x 360.0,4755,25,118875,2023-03-21,255.47,1613,757,12394,76743
343,Gebärdensprachvideo： Weitere Be­teiligung der Bundes­wehr an UN-Mission in Mali debattiert ,c_VF62HGowI,640.0 x 360.0,2582,25,64550,2023-03-21,138.28,601,312,6713,41049
344,Gebärdensprachvideo： Weiteres Vor­gehen in der Corona-Krise beraten ,oDoFJEXw9CU,640.0 x 360.0,2420,25,60500,2023-03-21,162.93,494,332,5932,36446
345,Gebärdensprachvideo： Wenig Zustimmung für Grünen-Antrag zur Trans­formation der Industrie ,lVeTeP-xEXo,1280.0 x 720.0,4441,25,111025,2023-03-21,592.46,1196,664,10719,67927
346,Gebärdensprachvideo： Wie Betrieb­sräte vor Mitbestimmungs­gegnern geschützt werden können ,S1Cqp69x0mg,640.0 x 360.0,4161,25,104025,2023-03-21,224.61,809,606,9823,61584
347,Gebärdensprachvideo： Opposition fordert mehr  Mieterschutz ,0KnCVu8oh04,640.0 x 360.0,6186.16,25,154654,2023-03-21,337.11,1509,928,15960,95020
348,Gebärdensprachvideo： Organspende ,E6F0lLSAhlA,640.0 x 360.0,8172,25,204300,2023-03-21,438.1,2356,1318,20969,127164
349,Gebärdensprachvideo： Rafał Dutkiewicz zum Volkstrauertag： Europa ist die Zukunft ,78S7KcyPiKw,1280.0 x 720.0,3588,25,89700,2023-03-21,442.51,316,198,3795,22947
350,Gebärdensprachvideo： Regierung will Weiter­bildungs- und Qualifi­zie­rungsberatung stärken ,1utf9B8bDxA,640.0 x 360.0,4359,25,108975,2023-03-21,172.72,1156,793,11504,70778
351,Gebärdensprachvideo： Schäuble-Appell und Musterfeststellungsklage ,WvxI0V-CwJQ,640.0 x 360.0,3648,25,91200,2023-03-21,149.49,1059,485,9233,57643
352,Gebärdensprachvideo： Suche nach Endlager für Atommüll ,5LIAwfkrYso,640.0 x 360.0,5894.16,25.00016966,147355,2023-03-21,306.54,1393,710,14487,89359
353,Gebärdensprachvideo： Verbot von Werk­ver­trägen und Leih­arbeit in Fleisch­fabriken beraten ,TJFLk6160r8,640.0 x 360.0,5516.84,25,137921,2023-03-21,299.85,1071,787,12892,81755
354,Gebärdensprachvideo： Wiedereinführung der Meisterpflicht ,J1IWnGypbFI,638.0 x 360.0,4519.92,25,112998,2023-03-21,233.19,1099,734,11880,72277
355,Gebärdensprachvideo： Zukunft des Gen­technik-Standorts Deutschland im Bundestag erörtert ,7dFAksaLghw,640.0 x 360.0,4648,25,116200,2023-03-21,246.76,906,613,10868,66660
356,Gebärdensprachvideo： Zustimmung zu weiterer Friedens­mission in der Region Darfur ,qjP6poJ5VNI,640.0 x 360.0,2162,25,54050,2023-03-21,87.87,415,292,5087,32399
357,"Gebärdensprachvideo： Änderung des GG - Bildung, Bau, Verkehr ",zqMh2VcDeyA,640.0 x 360.0,7611,25,190275,2023-03-21,319.21,2395,1159,18835,114207
358,Gebärdensprachvideo： Änderung des Transplantationsgesetzes ,38qpHUcLugc,640.0 x 360.0,4541,25,113525,2023-03-21,174.54,1393,571,11174,71069
359,"Gebärdensprachvideo： Änderungen im Zivil-, In­sol­venz- und Straf­ver­fah­rens­recht angenommen ",E3bDCdVHrEk,640.0 x 360.0,2826,25,70650,2023-03-21,154.27,577,423,7019,43957
360,Gebärdensprachvideo： „KI-Systeme werden Einfluss auf alle Lebensbereiche nehmen“ ,ip0BeWo05z4,640.0 x 360.0,4412.8,25,110320,2023-03-21,238.51,882,548,10855,66699
361,Gärdensprachvideo： Bundestag regelt Ausschlüsse vom Wahlrecht neu ,S5Xp2vA8jbg,1280.0 x 720.0,1800,25,45000,2023-03-21,250.51,612,280,4471,27974
362,Heftige Kritik der Opposition an GKV-Finanz­stabilisierungs­gesetz ,0jSWpdU-dbQ,1280.0 x 720.0,5448,25,136200,2023-03-21,670.4,1497,810,13426,84588
363,Inge Auerbacher： Die Krankheit des Judenhasses muss geheilt werden ,e4jEnoR5ea0,1280.0 x 720.0,5114,25,127850,2023-03-21,791.57,769,408,5997,36103
364,Isaac Herzog： Die Zukunft muss uns beiden gehören ,xL_zROaQOjo,1280.0 x 720.0,2521.8,25,63045,2023-03-21,331.26,574,229,4755,29520
365,Ja zu Aufbau­fonds für Flut­gebiete und Infek­tions­schutzgesetz-Änderungen ,HFZ74ozz-wg,1280.0 x 720.0,5680,25,142000,2023-03-21,803.19,1414,754,12973,81132
366,Jahressteuergesetz 2022 erstmals beraten ,gcYn11nu37M,1280.0 x 720.0,2644,25,66100,2023-03-21,329.79,727,407,6610,42338
367,Kanzler Scholz zur Ukrai­ne： Wir helfen in umfang­reicher Art und Weise ,E5ToVnbHePQ,1280.0 x 720.0,14832.72,25,370818,2023-03-21,2088.09,3662,1835,33957,209599
368,Keine Unterstützung für Unionsantrag zu Klimaaktivisten ,5Son5ucIMxM,1280.0 x 720.0,5482,25,137050,2023-03-21,738.26,1487,779,13728,85125
369,Kontroverse Debatte zu Befugnissen der Bundespolizei ,YZjUFbvYUnc,1280.0 x 720.0,4614.44,25,115361,2023-03-21,549.55,1242,619,10961,70657
370,Kontroverse um den zweiten Nachtrag zum Bundes­haushalt 2021 ,-b_ZkjT3r8U,1280.0 x 720.0,6902,25,172550,2023-03-21,882.31,1309,669,11651,73761
371,Kritik an schwammigen Zielen der Digitalstrategie ,JvNgWiviXVs,1280.0 x 720.0,5172,25,129300,2023-03-21,680.19,1356,736,12175,75918
372,Letzter Schlagabtausch im Bundestag zur Si­tuation in Deutsch­land ,v1mhxp079CI,1280.0 x 720.0,13340,25,333500,2023-03-21,1111.53,3423,1706,32161,194563
373,Merkel zu Corona-Prognosen： Das Erreichte darf nicht riskiert werden ,_BMDlZhC9Lk,1280.0 x 720.0,4262,25,106550,2023-03-21,613.78,1209,588,11216,68669
374,Merkel： Nationale Allein­gänge in der EU dürfen sich nicht wiederholen ,gPUhdQN9oK8,1280.0 x 720.0,5996,25,149900,2023-03-21,686.82,1470,681,13097,82810
375,Oppositionsantrag gegen höhere Erbschaftsteuer abgelehnt ,bnMyMZxdnqo,1280.0 x 720.0,5136.12,25,128403,2023-03-21,597.03,1407,738,13130,80735
376,Oppositionsanträge zur Inklusion in der Arbeits­welt abgelehnt ,0kjQBM71j8k,1280.0 x 720.0,2846,25,71150,2023-03-21,388.84,783,404,7173,44811
377,Oppositionsanträge zur Unterstützung der Raffinerie PCK Schwedt beraten ,jyql8WNq_8E,1280.0 x 720.0,5168.72,25,129218,2023-03-21,665.2,1328,722,12511,77126
378,Oppositionsführer Merz wirft Kanzler Scholz in Generalaus­sprache Wortbruch vor ,FsXSnZAag6s,1280.0 x 720.0,14620.12,25,365503,2023-03-21,1855.82,3696,1866,34507,213199
379,Re­akti­vierung des Wirt­schaftsstabilisierungs­fonds beraten ,NYviOJQ_R9A,1280.0 x 720.0,3026,25,75650,2023-03-21,357.95,753,394,7069,43927
380,Scharfe Kritik der Oppo­si­tion an Sicher­heits­be­hörden im Fall Anis Amri ,C5hJdtHA7t8,1280.0 x 720.0,4518,25,112950,2023-03-21,528.71,1083,546,10495,67479
381,"Studierenden-Energiepreis­pauschale beschlossen, Strom- und Gaspreisbremse erörtert ",bftfi1Dm1ZU,1280.0 x 720.0,5172.04,25,129301,2023-03-21,629.33,1356,836,12583,76632
382,Wehrbeauftragte： 2021 war das Jahr der Bundeswehr ,-uM6CrjgoOQ,1280.0 x 720.0,5704,25,142600,2023-03-21,681.23,1442,726,13290,83274
383,Werbeverbot für Schwangerschaftsabbrüche gestrichen ,2PASc5G9gZY,1280.0 x 720.0,5834,25,145850,2023-03-21,814.71,1344,747,12797,79460
384,Wie Wirtschaftspolitik den Wohlstand sichern kann ,9Eiqh6glu4U,1280.0 x 720.0,4716,25,117900,2023-03-21,681.61,1306,753,11944,74409
385,„Übergewinnsteuer“ stößt bei Mehrheit der Fraktionen auf Ablehnung ,4s0Wdze8w5M,1280.0 x 720.0,4356.12,25,108903,2023-03-21,582.8,1190,576,10802,67705
386,Gebärdensprachvideo： Wie die Transparenz­re­gelungen für Abgeordnete verbessert werden können ,DP8kaOzV_TE,1280.0 x 720.0,5282,25,132050,2023-03-21,703.73,1372,736,12981,79327
387,Initiativen zur Corona-Impfpflicht fallen im Bundestag durch ,YmHF5ZNtCqQ,1280.0 x 720.0,16720,25,418000,2023-03-21,2451.69,2787,1506,25567,154935
388,Kontroverse Debatte um Inflations­ausgleich ,diVZfoqDYCY,1280.0 x 720.0,4738,25,118450,2023-03-21,586.38,1334,724,12061,74002
,,,,,,,,,,,,
,,,,525,,,,,,251249,4532510,27774296
,,,,,,,,,,,,
